time,yaw,pitch,roll,x,y,z,f1,t1,f2,t2,f3,t3,f4,t4
0.075499,-1.74116384647,-1.68770857792,-0.00773574785015,-0.861140118819,2.46079298042,-3.86895115643,270.731561,391.4958887,342.24329638,327.1169699,305.999623,334.70075645,286.815209,352.4805165
0.173832,-1.54721775529,-1.68770857792,-0.00773574785015,-1.3230210174,2.46079298042,-3.54392025558,264.200483,394.3210822,344.61610031,323.87892295,315.188624,330.0097512,285.993789,357.91409975
0.271851,-1.11724547524,-1.68770857792,-0.00773574785015,-1.4435116866,1.45567951196,-3.54392025558,259.551789,395.23534255,345.69060726,321.20716475,322.095104,328.3097246,282.039337,363.76631865
0.368434,-1.11724547524,-1.68770857792,-0.00773574785015,-1.4435116866,0.899277413354,-3.21888935473,257.778614,393.77816145,345.21551528,319.49068855,326.48981,329.4809352,275.928421,369.58024255
0.465347,-1.11724547524,-1.68770857792,-0.00773574785015,-1.4435116866,0.41466913392,-2.40631210261,259.765725,389.5625087,343.35841368,318.8493715,328.526679,332.84223455,268.654202,374.89538385
0.561721,-1.11724547524,-1.68770857792,0.333770452206,-1.4435116866,-0.357114422215,-2.40631210261,265.304822,382.94253025,340.54766986,319.23554495,328.36666,337.7021932,261.209837,379.25125265
0.658076,-1.11724547524,-1.68770857792,0.390839932748,-1.4435116866,-0.393011331802,-1.75625030092,273.554261,374.70182115,337.21559123,320.5990114,326.170706,343.3693863,254.588487,382.1873625
0.754399,-1.11724547524,-1.03887093438,0.390839932748,-1.4435116866,-0.393011331802,-1.43121940007,283.664645,365.6292331,333.79448614,322.88957335,322.099766,349.1523867,249.783311,383.2432258
0.850774,-1.12574241804,-1.03887093438,0.390839932748,-1.4435116866,-0.393011331802,-1.10618849922,294.786582,356.51361435,330.71666247,326.057031,316.314792,354.3597661,247.787468,381.95835265
0.947882,-1.12574241804,-1.03887093438,0.390839932748,-1.3230210174,-0.393011331802,-1.75625030092,306.070676,348.1438189,328.41442763,330.051188,308.976736,358.30009735,249.513615,377.92684135
1.046074,-1.12574241804,-0.434192251942,0.390839932748,-0.851099229719,-0.393011331802,-1.75625030092,316.667531,341.308695,327.32008903,334.82184455,300.268977,360.33650815,254.84184,371.4429056
1.144696,-1.12574241804,0.104687819142,0.390839932748,0.584747911535,-0.393011331802,-1.75625030092,325.727754,336.7970932,327.81601188,340.29601015,290.635621,360.46631095,262.937059,363.28567845
1.242409,-1.12574241804,0.610492652432,0.390839932748,0.926138140924,-0.393011331802,-1.75625030092,332.464797,335.30578125,329.75676173,346.15982565,280.688987,359.09597325,272.949859,354.2440047
1.339187,-1.12574241804,1.03923921895,0.390839932748,0.946219919124,-0.393011331802,-1.75625030092,336.69753,336.644479,332.67988678,351.9547504,271.044199,356.63877975,284.030828,345.10672915
1.437107,-1.13410448873,1.4021871741,-0.368062734042,0.966301697323,0.378772224333,-1.5937348505,338.58316,340.1271781,336.11861264,357.22027495,262.316378,353.5080163,295.330554,336.66269775
1.535526,-1.13410448873,1.4021871741,-1.12696540083,1.08679236652,1.11465887088,-1.10618849922,338.282591,345.0624514,339.60616633,361.4958887,255.120646,350.1169699,305.999623,329.70075645
1.633273,-1.13410448873,1.4021871741,-1.39258133421,1.17716036842,1.41978260238,-1.10618849922,335.956728,350.75887405,342.67577299,364.3210822,250.072127,346.87892295,315.188624,325.0097512
1.729956,-1.14260143153,1.4021871741,-1.39258133421,1.17716036842,1.41978260238,-1.10618849922,331.766476,356.5250212,344.86065917,365.23534255,247.785942,344.20716475,322.095104,323.3097246
1.827594,-1.15096350222,1.4021871741,-1.39258133421,1.17716036842,1.41978260238,-1.10618849922,325.872737,361.66946685,345.69405142,363.77816145,248.796776,342.49068855,326.48981,324.4809352
1.92595,-1.15946044502,1.4021871741,-1.46847160089,1.17716036842,1.47362796676,-1.5937348505,318.436418,365.50078615,344.76010925,359.5625087,252.748056,341.8493715,328.526679,327.84223455
2.023154,-1.17631945851,1.4021871741,-1.46847160089,1.08679236652,1.47362796676,-1.10618849922,309.648288,367.40016295,342.15673366,352.94253025,258.728362,342.23554495,328.36666,332.7021932
2.119686,-1.17631945851,1.4021871741,-1.46847160089,1.08679236652,1.47362796676,-1.10618849922,299.974039,367.41716685,338.27949733,344.70182115,265.817891,343.5990114,326.170706,338.3693863
2.216288,-1.20154054269,0.874390826323,-1.46847160089,1.08679236652,1.47362796676,-1.10618849922,290.027526,365.96157965,333.52761685,335.6292331,273.096838,345.88957335,322.099766,344.1523867
2.312966,-1.23525856967,0.467459842184,-1.46847160089,1.07675147742,1.47362796676,-0.293611247105,280.424042,363.44667455,328.30030646,326.51361435,279.645399,349.057031,316.314792,349.3597661
2.409657,-1.26061452596,0.225553182784,-1.39258133421,0.966301697323,1.41978260238,-0.131095796681,271.778878,360.28572475,322.99678228,318.1438189,284.543771,353.051188,308.976736,353.30009735
2.506176,-1.28583561014,0.225553182784,-1.37376054807,0.765483915329,1.38388569279,0.356450554589,264.707326,356.89200575,318.01626043,311.308695,286.872151,357.82184455,300.268977,355.33650815
2.602709,-1.28583561014,0.225553182784,-1.37376054807,0.725320358931,1.38388569279,0.518966005013,259.824678,353.67878845,313.75795562,306.7970932,285.816996,363.29601015,290.635621,355.46631095
2.699888,-1.28583561014,0.225553182784,-1.25992514805,0.725320358931,1.27619496402,0.518966005013,257.746225,351.05934835,310.59154541,305.30578125,281.687741,369.15982565,280.688987,354.09597325
2.7985,-1.28583561014,0.225553182784,-1.07019948136,0.725320358931,1.07876196129,0.518966005013,258.980712,349.41480695,308.6021609,306.644479,275.468326,374.9547504,271.044199,351.63877975
2.897147,-1.28583561014,0.225553182784,-0.747514067438,0.725320358931,0.755689775003,0.518966005013,263.099141,348.8433087,307.7159148,310.1271781,268.151888,380.22027495,262.316378,348.5080163
2.994697,-1.28583561014,0.225553182784,-0.387187081246,0.725320358931,0.378772224333,0.518966005013,269.185239,349.2959579,307.85718223,315.0624514,260.731561,384.4958887,255.120646,345.1169699
3.091293,-1.28583561014,-0.0163534766158,-0.0265565339866,0.725320358931,0.0377515832497,0.843996905861,276.318571,350.7226042,308.95033784,320.75887405,254.200483,387.3210822,250.072127,341.87892295
3.189315,-1.30269462363,-0.0823280200884,-0.00773574785015,-0.178359660041,0.0198031284559,1.00651235628,283.578704,353.0730938,310.91975628,326.5250212,249.551789,388.23534255,247.785942,339.20716475
3.287577,-1.32805057992,-0.467091557621,0.011388599353,-0.730608560523,0.00185467366203,1.33154325713,290.045201,356.29727635,313.68981361,331.66946685,247.778614,386.77816145,248.796776,337.49068855
3.385,-1.33641265061,-0.489083072112,0.0302093854894,-0.730608560523,-0.0160937811318,1.33154325713,294.79763,360.34500035,317.18488354,335.50078615,249.765725,382.5625087,252.748056,336.8493715
3.481607,-1.33641265061,-0.489083072112,0.0302093854894,-0.730608560523,-0.0160937811318,1.33154325713,296.915555,365.16611315,321.31530464,337.40016295,255.304822,375.94253025,258.728362,337.23554495
3.579645,-1.33641265061,-0.489083072112,0.0493337326925,-0.84105834062,-0.0519906907195,1.33154325713,295.618716,370.6804287,325.86220167,337.41716685,263.554261,367.70182115,265.817891,338.5990114
3.678134,-1.33641265061,-0.489083072112,0.125223999372,-0.84105834062,-0.123784509895,1.33154325713,291.307021,376.55487825,330.53706278,335.96157965,273.664645,358.6292331,273.096838,340.88957335
3.775554,-1.33641265061,-0.489083072112,0.163169132711,-0.84105834062,-0.159681419482,0.518966005013,284.971545,382.32972515,335.05070026,333.44667455,284.786582,349.51361435,279.645399,344.057031
3.872424,-1.33641265061,-0.555057615584,0.163169132711,-0.84105834062,-0.159681419482,0.356450554589,277.607779,387.54428515,339.11392734,330.28572475,296.070676,341.1438189,284.543771,348.051188
3.96908,-1.35340653621,-1.13792071565,0.371715585545,-0.981630788015,-0.357114422215,0.193935104166,270.211211,391.73787285,342.43755678,326.89200575,306.667531,334.308695,286.872151,352.82184455
4.065652,-1.3617686069,-1.50069273869,0.580565599446,-1.3330619065,-0.554547424947,0.193935104166,263.777332,394.449804,344.73240134,323.67878845,315.727754,329.7970932,285.816996,358.29601015
4.162027,-1.41234564737,-1.50069273869,0.808236399483,-1.3330619065,-0.805825792061,0.356450554589,259.301631,395.2193955,345.70927425,321.05934835,322.464797,328.30578125,281.687741,364.15982565
4.258663,-1.47128475853,-1.50069273869,1.20650851901,-1.3330619065,-1.20069179752,0.518966005013,257.779597,393.58596195,345.12906536,319.41480695,326.69753,329.644479,275.468326,369.9547504
4.355266,-1.50500278551,-1.50069273869,1.3015231329,-1.3330619065,-1.29043407149,0.518966005013,260.063838,389.18518565,343.19340373,318.8433087,328.58316,333.1271781,268.151888,375.22027495
4.452636,-1.50500278551,-1.50069273869,1.3015231329,-1.3330619065,-1.29043407149,0.518966005013,265.855624,382.4292519,340.33293767,319.2959579,328.282591,338.0624514,260.731561,379.4958887
4.551121,-1.51349972831,-1.50069273869,1.3015231329,-1.3330619065,-1.29043407149,0.518966005013,274.300373,374.10523335,336.98027163,320.7226042,325.956728,343.75887405,254.200483,382.3210822
4.649548,-1.521861799,-1.50069273869,1.3015231329,-1.3330619065,-1.29043407149,0.193935104166,284.539907,365.002628,333.56800912,323.0730938,321.766476,349.5250212,249.551789,383.23534255
4.746956,-1.53872081249,-1.50069273869,1.3015231329,-1.27281657191,-1.29043407149,-0.293611247105,295.716046,355.91093615,330.52875553,326.29727635,315.872737,354.66946685,247.778614,381.77816145
4.843571,-1.55557982598,-0.862938818457,1.3015231329,-1.27281657191,-1.29043407149,-1.10618849922,306.97061,347.6196581,328.2951139,330.34500035,308.436418,358.50078615,249.765725,377.5625087
4.941744,-1.56407676878,-0.302243164997,1.3015231329,-0.730608560523,-1.29043407149,-1.26870394965,317.445421,340.918293,327.29968915,335.16611315,299.648288,360.40016295,255.304822,370.94253025
5.040043,-1.57243883947,0.13758712482,1.3015231329,0.986383475522,-1.29043407149,-1.26870394965,326.282298,336.59633885,327.90920348,340.6804287,289.974039,360.41716685,263.554261,362.70182115
5.137591,-1.58093578227,0.632484166923,1.20650851901,0.996424364622,-1.20069179752,-1.26870394965,332.708409,335.32294155,329.93570013,346.55487825,280.027526,358.96157965,273.664645,353.6292331
5.234425,-1.58093578227,1.03923921895,0.447605852224,1.14703770112,-0.446856696184,-1.26870394965,336.6094,336.83865535,332.91337385,352.32972515,270.424042,356.44667455,284.786582,344.51361435
5.33212,-1.58093578227,1.42417868859,-0.330117600703,1.14703770112,0.324926859951,-1.26870394965,338.177256,340.45203585,336.37434387,357.54428515,261.778878,353.28572475,296.070676,336.1438189
