time,yaw,pitch,roll,x,y,z,f1,t1,f2,t2,f3,t3,f4,t4
0.075544,-7.73795511109,0.291739776464,4.09990511014,-0.267872366145,-2.65113349829,-0.548136335533,329.720403,308.7474547,319.09248053,368.38852065,332.656522,354.3353286,342.212142,337.07079135
0.172285,-7.73795511109,0.291739776464,2.80068210369,-0.267872366145,-2.65113349829,-0.548136335533,322.816934,305.61460975,320.97507493,373.36030185,339.216167,360.1729563,342.257739,326.8517407
0.268826,-7.73795511109,0.291739776464,1.2849219295,-0.267872366145,-1.4809694834,0.214733822166,317.049859,304.74052695,321.65107781,376.03225095,344.81667,363.35915665,339.260541,317.4535083
0.365432,-7.73795511109,0.291739776464,0.147668724525,-0.267872366145,-0.310805468505,0.214733822166,313.246906,306.40868935,320.85630029,375.71771215,349.212988,364.0465082,334.033534,309.1613643
0.462501,-7.73795511109,0.291739776464,0.147668724525,-0.267872366145,-0.310805468505,0.214733822166,312.156209,310.84258565,318.74050505,372.4528564,352.333394,362.93700085,327.404471,302.2587561
0.561021,-7.50244845941,0.596035990119,0.147668724525,0.431814618744,-0.310805468505,0.723313927298,313.723102,317.66054005,315.71116235,366.7238462,354.109332,360.7426847,320.201108,297.02913225
0.659439,-7.50244845941,0.631852399447,0.147668724525,1.52430833199,-0.310805468505,1.486184085,317.427759,326.1302383,312.17963452,359.023644,354.472246,358.1756064,313.251198,293.7559413
0.756802,-7.50244845941,0.667668808776,0.147668724525,1.53658354225,-0.310805468505,1.74047413756,322.744663,335.5150709,308.5572853,349.84520995,353.353583,355.9478172,307.382497,292.72263295
0.853534,-7.26314331334,0.864802325719,0.147668724525,1.57340917304,-0.310805468505,1.74047413756,329.148297,345.0784318,305.25547655,339.6815065,350.684785,354.77136375,303.422757,294.21265575
0.951579,-7.02763666165,1.09746572072,0.147668724525,1.72071169617,-0.310805468505,1.486184085,336.113142,354.08371495,302.68557201,329.02549495,346.397298,355.358295,302.140609,298.46489115
1.049862,-7.02763666165,1.11551719102,0.147668724525,1.76981253722,-0.310805468505,0.723313927298,343.113681,361.794312,301.25893448,318.37013775,340.457636,358.3483663,303.546303,305.14659585
1.147168,-6.5528248639,1.16909853937,0.255937308396,1.76981253722,-0.366527564452,0.723313927298,349.624397,367.47361575,301.3424657,308.19675935,333.239993,363.54092335,307.124828,313.52910685
1.243962,-6.31351971784,1.16909853937,0.364205892267,1.76981253722,-0.589415948241,0.214733822166,355.148195,370.47513875,302.83320183,298.8637124,325.381581,370.1931087,312.350647,322.8758296
1.342061,-5.83870792008,1.16909853937,0.364205892267,1.90483985009,-0.589415948241,0.214733822166,359.461787,371.0204975,305.34595954,290.6554908,317.523997,377.55303165,318.698227,332.4501707
1.440222,-4.88908432458,1.455629814,0.364205892267,1.90483985009,-0.589415948241,0.214733822166,362.494903,369.8164567,308.4917062,283.85557645,310.308838,384.86880035,325.64203,341.5155356
1.537234,-2.27951868414,1.9570595446,0.364205892267,1.90483985009,-0.589415948241,0.214733822166,364.178945,367.5750814,311.88141059,278.7474547,304.377701,391.38852065,332.656522,349.3353286
1.633982,-2.27951868414,1.9570595446,0.364205892267,2.01531674244,-0.589415948241,0.214733822166,364.445312,365.00843435,315.12604102,275.61460975,300.372181,396.36030185,339.216167,355.1729563
1.730665,-2.27951868414,1.9570595446,0.364205892267,2.01531674244,-0.589415948241,-0.0395562303995,363.225407,362.8285829,317.83656627,274.74052695,298.933877,399.03225095,344.81667,358.35915665
1.82713,-2.27951868414,1.9570595446,0.364205892267,2.01531674244,-0.589415948241,-0.548136335533,360.45063,361.74758865,319.62395418,276.40868935,300.624893,398.71771215,349.212988,359.0465082
1.923419,-2.27951868414,1.9570595446,0.364205892267,2.01531674244,-0.589415948241,-1.05671644066,356.052384,362.47751665,320.13658177,280.84258565,305.126585,395.4528564,352.333394,357.93700085
2.019773,-2.04021353807,1.9570595446,0.202236090796,2.01531674244,-0.533693852294,-1.05671644066,350.008758,365.6342057,319.40014206,287.66054005,311.571995,389.7238462,354.109332,355.7426847
