time,yaw,pitch,roll,x,y,z,f1,t1,f2,t2,f3,t3,f4,t4
0.075499,-2.26084204439,-0.0479564170263,0.725685220485,-0.57419147357,-0.738839745534,0.98479241575,331.099735,401.4304328,305.79441333,353.1770233,332.976805,328.2661373,310.964573,377.6467968
0.172279,-2.26084204439,-0.321701091429,0.690969065772,-0.702660680553,-0.706162180495,0.828393408485,335.030575,402.3145804,304.91358539,357.22785,330.777164,321.06510295,310.499263,379.17925805
0.270232,-2.26084204439,-0.321701091429,0.690969065772,-0.702660680553,-0.706162180495,0.828393408485,338.791615,401.5136537,304.62944125,360.1599084,328.228668,316.4369199,311.592499,381.6226665
0.368644,-2.26084204439,-0.321701091429,0.655692973079,-0.702660680553,-0.673484615456,0.828393408485,342.040407,398.5138442,305.10108672,361.81489985,325.484908,314.44707605,313.908643,384.47049545
0.466274,-2.26084204439,-0.321701091429,0.620976818366,-0.702660680553,-0.640807050417,0.671994401219,344.459266,392.87379685,306.26199706,362.3312556,322.745798,314.7578693,317.105227,387.2089318
0.5628,-2.32645210029,-0.321701091429,0.585700725673,-0.702660680553,-0.575451920339,0.671994401219,345.980298,384.88292065,307.90517957,362.03213945,320.212101,317.0242157,320.839783,389.3241659
0.659849,-2.32645210029,-0.321701091429,0.55098457096,-0.702660680553,-0.542774355299,0.671994401219,346.68034,375.25405,309.82151997,361.2435051,318.084578,320.9010313,324.769844,390.3023881
0.756585,-2.32645210029,-0.321701091429,0.480992323554,-0.702660680553,-0.477419225221,0.671994401219,346.638003,364.70520235,311.80190351,360.2913051,316.563992,326.043231,328.55294,389.6297853
0.853055,-2.32645210029,-0.321701091429,0.411000076148,-0.702660680553,-0.444741660182,0.515595393953,345.931897,353.95439285,313.63721544,359.50149315,315.851106,332.105732,331.846605,386.79254785
0.949834,-2.32645210029,-0.0935805294268,0.341007828742,-0.603838213643,-0.346708965065,0.515595393953,344.640631,343.7196355,315.11834148,359.20002295,316.146681,338.74344805,334.326769,381.3306838
1.046546,-2.26084204439,0.225788257376,0.0957549938312,-0.455604513278,-0.117966009791,0.515595393953,342.842816,334.7189489,316.03616688,359.7128482,317.622709,345.619198,335.905336,373.474514
1.143592,-2.22777457622,0.362660594578,-0.1489379031,-0.386428786441,0.110776945483,0.202797379421,340.617061,327.6703459,316.20213422,361.31927515,320.116717,352.48765235,336.657653,363.93248215
1.241836,-2.22777457622,0.59078115658,-0.394190738011,0.987203503609,0.372197465795,-0.11000063511,338.049577,323.22571205,315.64492948,363.8056338,323.250449,359.1627434,336.662338,353.42260685
1.340393,-2.16216452033,0.59078115658,-0.778868129754,0.987203503609,0.731650681225,-0.579197656908,335.299785,321.39988695,314.52372568,366.66215215,326.642052,365.459389,335.998011,342.66291015
1.438082,-2.09655446444,0.59078115658,-1.12882936678,0.987203503609,1.09110389666,-1.04839467871,332.568022,321.8516932,312.99947338,369.3750217,329.909674,371.1925093,334.743294,332.3714141
1.534548,-2.03094440855,0.59078115658,-1.51406669651,0.987203503609,1.45055711209,-1.36119269324,330.055072,324.23606525,311.23312455,371.4304328,332.671461,376.1770233,332.976805,323.2661373
1.63239,-2.03094440855,0.727653493781,-1.51406669651,1.04649698376,1.45055711209,-1.36119269324,327.96172,328.20793755,309.38562975,372.3145804,334.545563,380.22785,330.777164,316.06510295
1.730781,-2.03094440855,0.841531278333,-1.51406669651,1.09590821721,1.45055711209,-1.36119269324,326.488749,333.4222434,307.61794095,371.5136537,335.150125,383.1599084,328.228668,311.4369199
1.82802,-1.99840182082,0.864525830982,-1.51406669651,1.1057904639,1.45055711209,-1.36119269324,325.836943,339.5339184,306.09100871,368.5138442,334.146624,384.81489985,325.484908,309.44707605
1.924945,-1.96533435265,0.887155390733,-1.51406669651,1.11567271059,1.45055711209,-1.36119269324,326.207087,346.19789585,304.95414498,362.87379685,331.676602,385.3312556,322.745798,309.7578693
