time,yaw,pitch,roll,x,y,z,f1,t1,f2,t2,f3,t3,f4,t4
0.075844,1.33749032218,-0.348425660945,-0.107695884697,0.79628804554,0.107829802444,0.712155334362,320.731222,396.92077335,307.14851482,290.527344,305.713656,363.21344245,273.875651,377.7416879
0.174244,1.33749032218,-0.348425660945,-0.107695884697,0.79628804554,0.107829802444,0.712155334362,330.338268,395.84870655,308.00040674,297.08731315,300.526106,357.25652755,276.184981,381.34964845
0.272924,1.33749032218,-0.348425660945,-0.107695884697,-0.506093448207,0.107829802444,0.712155334362,338.375494,394.3159003,309.75532235,304.3151264,297.279173,350.26056925,281.942075,383.7257267
0.37073,1.33749032218,-0.525920569492,-0.107695884697,-0.686097394498,0.107829802444,0.712155334362,343.849536,392.47519305,312.50610357,311.9847064,296.076289,342.4299881,290.169058,385.0195802
0.467296,1.33749032218,-0.629577596084,-0.107695884697,-0.781393601357,0.107829802444,0.712155334362,345.870405,390.4630921,316.06007578,319.8781293,296.612598,334.17263965,299.872557,385.3840359
0.56501,1.33749032218,-0.673832993282,-0.107695884697,-0.802570536215,0.107829802444,0.712155334362,344.590774,388.25137645,320.04681835,327.78254505,298.575767,325.9001089,310.0592,384.97191845
0.663639,1.33749032218,-0.732997962798,-0.107695884697,-0.855512873359,0.107829802444,0.712155334362,340.767452,385.7163797,324.09322366,335.4851795,301.653464,318.02397855,319.735614,383.93605595
0.761568,1.33749032218,-0.732997962798,-0.423024649301,-0.855512873359,0.401720243889,0.405632234923,335.164644,382.7332659,327.82618503,342.7732608,305.533357,310.95583245,327.908426,382.4292742
0.858119,1.35918830915,-0.807072504632,-0.423024649301,-0.919043677932,0.401720243889,0.405632234923,328.546554,379.1771991,330.87259625,349.4340148,309.903113,305.1072533,333.584262,380.60440245
0.955905,1.38054188364,-0.83665498939,-0.377977682929,-0.929632145361,0.338743720723,0.405632234923,321.677386,374.9233468,332.85935017,355.2546685,314.4504,300.88982495,335.84654,378.602134
1.054416,1.38054188364,-1.10289735221,-0.377977682929,-1.13081302651,0.338743720723,0.303457868444,315.321344,369.8468719,333.41334011,360.02244775,318.865848,298.68360515,334.763622,376.40756485
1.151222,1.40223987062,-1.19164480649,-0.377977682929,-1.20493229851,0.338743720723,0.303457868444,310.242633,363.82294075,332.20811911,363.5448897,322.874513,298.5021639,331.086056,373.8980222
1.248104,1.40223987062,-1.19164480649,-0.377977682929,-1.20493229851,0.338743720723,0.303457868444,307.138489,356.7600858,329.41034964,365.84415945,326.223663,300.1226289,325.57806,370.9486724
