time,yaw,pitch,roll,x,y,z,f1,t1,f2,t2,f3,t3,f4,t4
0.04538,-1.46281473687,-2.73221804867,1.85414238861,-0.997814200432,3.92083691027,-13162.1357079,315.1709748,356.9958956,306.210900822,327.10343095,255.1989179,331.4110377,280.4784098,337.5376534
0.118954,-1.23291721282,-0.393824829368,-1.63839418164,-0.997814200432,3.92083691027,-3.58825836388,321.3057544,359.8411037,305.565195646,333.8189721,248.07850191,325.50337845,280.9411658,336.5468962
0.216762,0.639105483078,-0.393824829368,-1.68718581466,-0.997814200432,2.34595558064,-3.18822956077,325.4042603,362.077672,306.126602515,338.50941845,244.417022328,319.6869993,284.6277318,337.2226063
0.315052,0.639105483078,-0.393824829368,-1.68718581466,-0.997814200432,1.79011511135,-1.98814315144,326.4250641,363.2547844,308.021719689,340.57441825,244.290227926,314.2227835,290.5131945,339.12312735
0.412461,0.639105483078,-0.393824829368,-1.68718581466,-0.830841086998,1.79011511135,-1.98814315144,323.4492426,362.96146425,311.050774467,340.1546648,247.17717077,309.39280075,297.5561162,341.7976145
0.509165,0.639105483078,-0.393824829368,-1.68718581466,-0.830841086998,1.69747503314,-1.98814315144,316.7935185,361.18860125,314.810812443,337.85218425,252.54597838,305.47950715,304.7150598,344.79521945
0.607271,0.639105483078,-0.393824829368,-1.68718581466,-0.830841086998,1.69747503314,-1.98814315144,307.4905707,358.15993595,318.895809641,334.2759752,259.8647783,302.76535765,310.9485877,347.6650962
0.705666,0.639105483078,-0.393824829368,-1.68718581466,-0.830841086998,1.69747503314,-1.98814315144,296.5818404,354.1020586,322.899742038,330.03503395,268.601698,301.5328095,315.2152625,349.95639875
0.8029,0.639105483078,-0.393824829368,-1.68718581466,-0.830841086998,1.69747503314,-1.98814315144,285.1087685,349.24155715,326.416585564,325.73835795,278.2248649,302.0643188,316.4736469,351.21827995
0.899509,0.589973097937,-0.993032294527,-1.63839418164,-1.04919054303,1.65115499403,-1.58811434833,274.112796,343.8050207,329.040316196,321.99494465,288.2024068,304.6423405,313.7733064,351.0294902
0.995967,0.524288091063,-1.7273551685,-1.4416537259,-1.04919054303,1.4658748376,-1.58811434833,264.63536387,338.0190395,330.364909911,319.4137915,298.0123197,309.5024337,307.3310477,349.34842365
1.09221,0.474892965894,-1.92059803007,-1.4416537259,-1.17763139951,1.4658748376,-1.58811434833,257.71791308,332.11020265,330.034086405,318.545024,307.2473242,316.3349632,298.172128,346.3964139
1.188949,0.376365455584,-1.92059803007,-1.24491327016,-1.20331957081,1.23427464207,-1.18808554522,254.304014604,326.3085757,328.217259105,319.3166119,315.5741564,324.47856055,287.3380013,342.40006615
1.285324,0.376365455584,-1.92059803007,0.0338996921265,-1.34460451295,-0.0626864529247,-1.18808554522,254.39446838,320.87772255,325.399595052,321.28283245,322.6607862,333.2659923,275.8701214,337.58598445
1.381793,0.376365455584,-1.92059803007,1.46066147713,-1.34460451295,-1.45228762613,-0.388027938995,257.46320064,316.0999245,322.0705655,323.99286495,328.1751833,342.0300273,264.8099423,332.180774
1.479858,0.376365455584,-1.92059803007,1.46066147713,-1.34460451295,-1.45228762613,-0.388027938995,262.97838156,312.25766755,318.719641844,326.9958956,331.7853174,350.10343095,255.1989179,326.4110377
1.578095,0.376365455584,-1.92059803007,1.46066147713,-1.34460451295,-1.45228762613,-0.388027938995,270.4081813,309.63343885,315.836295432,329.8411037,333.1591582,356.8189721,248.07850191,320.50337845
1.67557,0.376365455584,-1.92059803007,1.46066147713,-1.20331957081,-1.45228762613,0.0120008641153,279.22077,308.50972555,313.909997659,332.077672,331.9646755,361.50941845,244.417022328,314.6869993
1.772135,0.376365455584,-1.92059803007,1.46066147713,-1.17763139951,-1.45228762613,0.0120008641153,288.8843178,309.16901365,313.430219873,333.2547844,327.9325113,363.57441825,244.290227926,309.2227835
1.869683,0.376365455584,-1.43733628185,1.46066147713,-1.17763139951,-1.45228762613,0.0120008641153,298.8669949,311.8937903,314.828855978,332.96146425,321.4877139,363.1546648,247.17717077,304.39280075
1.967918,0.376365455584,-0.78031055251,1.46066147713,-0.895061515242,-1.45228762613,0.0120008641153,308.6500936,316.9041103,317.957046305,331.18860125,313.4876331,360.85218425,252.54597838,300.47950715
2.064469,0.343522952147,0.0699580384031,1.46066147713,0.248062107496,-1.45228762613,0.0120008641153,317.835697,323.8453493,322.329431771,328.15993595,304.7961497,357.2759752,259.8647783,297.76535765
2.161559,0.376365455584,0.668856314984,1.31271265442,0.479255649173,-1.26700746971,0.412029667228,326.0909861,332.05317185,327.456535012,324.1020586,296.2771446,353.03503395,268.601698,296.5328095
2.26005,0.409207959021,0.688335195431,1.26392102139,0.838890047338,-1.2206874306,0.812058470338,333.083773,340.86023755,332.848878805,319.24155715,288.7944988,348.73835795,278.2248649,297.0643188
2.358211,0.409207959021,0.688335195431,0.772069882052,0.838890047338,-0.757487039529,1.21208727345,338.4818699,349.599206,338.01698588,313.8050207,283.2120932,344.99494465,288.2024068,299.6423405
2.455383,0.409207959021,0.688335195431,0.624121059338,0.838890047338,-0.618526922208,1.61211607656,341.9530887,357.6027391,342.471378981,308.0190395,280.3938087,342.4137915,298.0123197,304.5024337
2.552154,0.409207959021,0.688335195431,0.624121059338,0.838890047338,-0.618526922208,1.61211607656,343.1652416,364.20349645,345.722580852,302.11020265,281.0976885,341.545024,307.2473242,311.3349632
2.648377,0.409207959021,0.688335195431,0.378588970578,0.838890047338,-0.618526922208,1.21208727345,341.7861406,368.7341388,347.327113136,296.3085757,284.9632785,342.3166119,315.5741564,319.47856055
2.744625,0.409207959021,0.688335195431,0.0338996921265,0.838890047338,-0.340606687566,0.812058470338,337.5666209,370.6159045,347.284599861,290.87772255,290.9583084,344.28283245,322.6607862,328.2659923
2.841145,0.327233070443,0.688335195431,-0.0148919408963,0.479255649173,-0.0626864529247,0.412029667228,330.9882179,370.049633,345.842295699,286.0999245,298.04135,346.99286495,328.1751833,337.0300273
2.937343,0.146467931527,0.688335195431,-0.113262168765,0.248062107496,0.122593703503,0.0120008641153,322.912158,367.64125585,343.250160667,282.25766755,305.1709748,349.9958956,331.7853174,345.10343095
3.033586,0.146467931527,-0.200581967796,-0.113262168765,-0.81799700135,0.122593703503,0.0120008641153,314.2029102,364.0001707,339.758154789,279.63343885,311.3057544,352.8411037,333.1591582,351.8189721
3.131569,0.294390567006,-0.200581967796,-0.162840763611,-0.81799700135,0.16891374261,0.0120008641153,305.7249433,359.73577175,335.6162381,278.50972555,315.4042603,355.077672,331.9646755,356.50941845
3.229883,0.146467931527,-0.200581967796,-0.113262168765,-0.81799700135,0.122593703503,0.412029667228,298.3427264,355.45745435,331.074370634,279.16901365,316.4250641,356.2547844,327.9325113,358.57441825
3.327021,0.146467931527,-0.200581967796,-0.113262168765,-0.81799700135,0.122593703503,0.412029667228,292.9207285,351.7746127,326.382512397,281.8937903,313.4492426,355.96146425,321.4877139,358.1546648
3.42374,0.146467931527,-0.200581967796,-0.162840763611,-0.81799700135,0.215233781717,0.412029667228,290.3234185,349.29664215,321.784456008,286.9041103,306.7935185,354.18860125,313.4876331,355.85218425
3.522295,0.294390567006,-0.200581967796,-0.162840763611,-0.81799700135,0.215233781717,0.412029667228,291.2756644,348.5552613,317.46722241,293.8453493,297.4905707,351.15993595,304.7961497,352.2759752
3.620491,0.294390567006,-0.200581967796,-0.457951447216,-0.81799700135,0.493154016359,0.412029667228,295.3269899,349.42820675,313.587236533,302.05317185,286.5818404,347.1020586,296.2771446,348.03503395
3.717961,0.294390567006,-0.200581967796,-0.506743080239,-0.959281943486,0.539474055465,0.0120008641153,301.4381685,351.4656215,310.30062669,310.86023755,275.1087685,342.24155715,288.7944988,343.73835795
3.814631,0.294390567006,0.185903755346,-0.801853763844,-0.81799700135,0.817394290107,-0.788056742105,308.5655772,354.21520595,307.763521147,319.599206,264.112796,336.8050207,283.2120932,339.99494465
3.912646,0.442050462458,0.688335195431,-0.900223991713,-0.0088196054788,0.863714329214,-0.788056742105,315.6655929,357.22465705,306.132048311,327.6027391,254.63536387,331.0190395,280.3938087,337.4137915
4.010859,0.442050462458,0.688335195431,-1.04817281443,-0.0088196054788,1.04899448564,-0.788056742105,321.6945927,360.0416729,305.562336448,334.20349645,247.71791308,325.11020265,281.0976885,336.545024
4.107916,0.442050462458,0.688335195431,-1.1465430423,-0.0088196054788,1.14163456386,-0.788056742105,325.6089536,362.21395275,306.210513918,338.7341388,244.304014604,319.3085757,284.9632785,337.3166119
4.204674,0.442050462458,0.688335195431,-1.24491327016,-0.0088196054788,1.23427464207,-0.788056742105,326.3650527,363.28919355,308.193688177,340.6159045,244.39446838,313.87772255,290.9583084,339.28283245
