0.375,-1.25,-1.187,-0.22,0.2,-0.04
-7.562,-1.438,-2.5,-0.25,0.42,-0.09
0.25,-4.063,-1.562,-0.69,0.26,-0.08
0.375,-5.75,0.563,-0.98,-0.11,-0.04
0.313,-7.063,2.375,-1.21,-0.41,-0.02
0,-8,4,-0.09,-0.69,-0.01
-7.625,-8.5,5.75,-0.17,-0.98,0
-0.437,-8.5,6.188,-0.18,-1.05,0.01
-0.5,-8.688,6.938,-0.21,-1.19,0.01
-0.687,-8.375,7.688,-0.16,-1.31,0.03
-0.937,-7.75,8.313,-0.05,-1.41,0.05
-1.062,-4.938,8.688,-0.85,-1.47,0.1
-1.125,-2.313,8.625,-0.4,-1.47,0.14
-1.125,-0.75,8.688,-0.13,-1.47,0.15
-0.625,1.875,7.625,1.6,-1.29,0.14
-0.125,5.25,6.375,2.17,-1.08,0.1
0.188,8.5,5.813,1.44,-0.99,0.03
0.438,10.812,4.063,1.84,-0.7,-0.06
0.375,12.375,3.75,2.1,-0.66,-0.12
-7.687,13.562,1.938,2.3,-0.36,-0.2
-0.125,14.25,0.25,2.41,-0.09,-0.27
-0.562,14.25,-0.75,2.41,0.07,-0.3
-0.687,13.25,-0.875,2.25,0.1,-0.27
-0.812,12.062,-0.937,2.05,0.13,-0.23
-1,10.562,-1.312,1.8,0.19,-0.2
-1.312,8.062,-1.75,1.37,0.28,-0.14
-1.312,5.375,-2,2.2,0.33,-0.1
-1.375,3.375,-1.812,1.85,0.3,-0.07
-1.312,0.687,-0.562,1.39,0.1,-0.02
-1.625,-2.938,0.5,-0.43,-0.06,0
-2.25,-6.813,1.438,-1.17,-0.25,-0.04
-1,-3.938,2.688,-0.68,-0.45,0.04
-0.375,-2.375,3.875,-0.43,-0.64,0.08
-7.938,-0.813,4.375,-0.15,-0.74,0.1
0.125,0.125,4.75,0.02,-0.8,0.11
-7.812,0.875,4.875,1.43,-0.83,0.11
0.375,1.562,4.25,0.25,-0.74,0.1
0.563,1.875,-4.5,1.6,-0.59,0.08
-7.437,1.625,2.75,1.55,-0.46,0.07
0.438,0.437,3.25,1.35,-0.54,0.08
0.438,-1.125,3.188,-0.18,-0.54,0.08
0.313,-2.375,2.438,-0.42,-0.41,0.05
0.125,-4.188,1.938,-0.72,-0.32,0.02
-0.062,-5.75,2.813,-0.99,-0.48,0.01
-0.187,-7.125,3.75,-1.21,-0.62,0.01
-0.187,-8.313,5.063,-0.14,-0.87,0
-0.5,-8.75,5.875,-0.22,-1.01,0
-0.437,-8.688,6.625,-0.21,-1.12,0.01
-0.562,-8.813,7.313,-0.22,-1.24,0.01
-0.812,-8.5,7.938,-0.17,-1.35,0.02
-1.062,-7.813,8.5,-0.09,-1.44,0.04
-1.062,-4.438,8.875,-0.76,-1.5,0.11
-1.062,-2.125,8.813,-0.39,-1.49,0.14
-0.937,-0.875,8.938,-0.15,-1.51,0.15
-7.813,1.625,7.688,0.27,-1.3,0.14
0.375,5.25,6.063,2.17,-1.02,0.09
0.75,8.625,5.563,1.46,-0.95,0.02
0.875,10.5,4.813,1.78,-0.82,-0.04
0.813,11.75,4.063,1.99,-0.7,-0.09
0.688,13.062,2.188,2.21,-0.39,-0.18
0.313,13.625,0.813,2.31,-0.17,-0.23
-0.125,13.625,-0.312,2.3,0.01,-0.27
-0.375,13.125,-0.625,2.22,0.07,-0.26
-0.5,11.75,-0.75,2,0.1,-0.21
-0.687,10.312,-1.062,1.78,0.15,-0.18
-1,7.937,-1.375,1.35,0.22,-0.13
-1.125,5.187,-1.625,2.17,0.27,-0.09
-1,3.062,-1.25,1.83,0.23,-0.06
-1,0.937,-0.312,1.44,0.06,-0.01
-1.312,-2.125,0.625,-0.36,-0.1,0.01
-2.125,-6.625,1.625,-1.13,-0.27,-0.03
-0.875,-3.813,2.938,-0.66,-0.5,0.05
-0.25,-2.375,4.063,-0.41,-0.69,0.08
0.125,-0.75,4.563,-0.13,-0.76,0.1
0.25,0.187,4.938,0.02,-0.83,0.11
-7.625,0.875,5,1.43,-0.85,0.11
0.563,1.562,4.375,1.54,-0.74,0.1
-7.25,1.875,3.125,1.6,-0.52,0.07
0.813,1.75,2.438,1.57,-0.41,0.06
0.688,0.875,2.563,1.43,-0.43,0.07
0.563,-0.875,3.5,-0.15,-0.59,0.08
-7.375,-2.313,3.188,-0.41,-0.53,0.07
0.688,-3.625,3.375,-0.59,-0.55,0.06
0.875,-5.313,4.438,-0.91,-0.76,0.05
0.938,-7.063,5.5,-1.21,-0.94,0.04
0.875,-8.063,5.75,-0.08,-0.97,0.02
0.688,-8.688,6.563,-0.21,-1.12,0.01
0.563,-9.125,7.25,-0.28,-1.24,0
0.375,-9,8.188,-1.55,-1.38,0.01
0.188,-8.625,8.75,-1.47,-1.48,0.03
-0.125,-7.938,9.063,-0.08,-1.54,0.04
-0.187,-5.375,9.313,-0.92,-1.58,0.1
-0.312,-2.875,9.063,-0.52,-1.54,0.13
-0.25,-1.5,9.063,-0.26,-1.54,0.14
0.063,1.5,8,1.53,-1.35,0.14
0.563,5.25,6.438,2.17,-1.09,0.1
0.875,8.437,5.25,1.4,-0.89,0.02
1.063,10.187,5.063,1.73,-0.87,-0.03
0.938,11.5,3.875,1.95,-0.67,-0.09
0.813,12.875,2.25,2.19,-0.4,-0.17
0.563,13.625,1.125,2.31,-0.23,-0.23
0.125,13.562,-0.125,2.3,-0.02,-0.26
-0.062,12.875,-0.562,2.19,0.06,-0.25
-0.187,11.687,-0.75,1.99,0.09,-0.21
-0.312,10.187,-1,1.73,0.14,-0.17
-0.5,8,-1.187,1.41,0.19,-0.13
-0.437,5.562,-1.5,2.23,0.24,-0.09
-7.375,3.625,-1.437,1.9,0.25,-0.06
-7.438,1.062,-0.187,1.46,0.04,-0.01
-0.625,-2.438,0.813,-0.35,-0.12,0.01
