0.188,-7.25,6.813,0.02,-1.17,0.05
0.188,-6.625,6.813,-1.14,-1.16,0.07
0.313,-5.875,6.75,-1.01,-1.15,0.08
0.313,-5.688,6.75,-0.98,-1.16,0.09
0.375,-5.688,6.563,-0.98,-1.12,0.08
0.5,-5.688,6.438,-0.98,-1.1,0.08
0.625,-5.5,6.375,-0.95,-1.09,0.09
0.75,-5.188,6.125,-0.91,-1.05,0.09
0.75,-5.125,5.938,-0.89,-1.01,0.09
0.75,-5.125,5.625,-0.89,-0.96,0.08
0.625,-5,5.25,-0.86,-0.9,0.08
0.625,-4.938,4.938,-0.85,-0.84,0.07
0.625,-5.25,4.688,-0.91,-0.8,0.06
0.625,-5.25,4.5,-0.91,-0.76,0.06
0.625,-5.5,4.375,-0.94,-0.74,0.05
0.625,-5.563,4.25,-0.96,-0.73,0.05
0.625,-5.75,4.188,-0.99,-0.71,0.04
0.563,-6.188,4.125,-1.07,-0.7,0.03
0.5,-6.875,4.063,0.1,-0.7,0.02
-7.5,-6.938,4.188,0.08,-0.72,0.02
0.438,-7.75,4.25,-1.31,-0.73,0
0.313,-8.375,4.188,-0.16,-0.73,-0.02
0.313,-8.75,4.25,-0.22,-0.74,-0.02
0.25,-9,4.375,-0.26,-0.76,-0.03
0.25,-9,4.5,-0.26,-0.78,-0.03
0.25,-9.188,4.75,-0.29,-0.82,-0.03
0.25,-9.438,5.125,-0.34,-0.88,-0.03
0.25,-9.688,5.438,-0.38,-0.93,-0.03
0.188,-9.875,5.75,-0.41,-0.99,-0.03
0.25,-10.125,6.063,-1.72,-1.04,-0.03
0.313,-10.25,6.313,-0.47,-1.08,-0.04
0.313,-10.375,6.563,-0.49,-1.12,-0.04
0.375,-10.313,6.813,-0.48,-1.16,-0.03
0.375,-10.125,6.938,-0.45,-1.19,-0.03
0.375,-9.813,7.063,-0.4,-1.21,-0.01
0.438,-9.625,7,-0.36,-1.2,-0.01
0.438,-9.375,6.938,-0.32,-1.18,0
0.5,-9.125,6.813,-1.57,-1.17,0
0.5,-8.75,6.688,-1.5,-1.15,0.01
