,Average Correlation Coefficient,Standard Deviation Correlation Coefficient
Yaw,0.26663088939550128,0.48655615084393311
Roll,0.99169823538006596,0.0047556733715254382
Pitch,0.99517324805562046,0.0021922518433675209
X acceleration,0.95891028148090518,0.014119421371931959
Y acceleration,0.99202161509640197,0.0047391410960264417
Z acceleration,0.98231565567267776,0.0072364148576656009
